run,duration_ms
1,15
2,12
3,17
4,14
5,15
6,16
7,16
8,16
9,17
10,12
11,16
12,16
13,15
14,16
15,15
16,15
17,15
18,14
19,16
20,15
21,16
22,22
23,8
24,17
25,15
26,16
27,16
28,15
29,16
30,15
31,15
32,17
33,15
34,15
35,15
36,20
37,10
38,17
39,14
40,16
41,15
42,16
43,16
44,14
45,16
46,14
47,15
48,15
49,17
50,15
51,16
52,16
53,15
54,16
55,15
56,15
57,16
58,15
59,16
60,16
61,17
62,15
63,16
64,15
65,15
66,16
67,15
68,15
69,14
70,17
71,14
72,17
73,15
74,15
75,15
76,16
77,14
78,16
79,15
80,16
81,14
82,16
83,16
84,16
85,15
86,16
87,15
88,15
89,15
90,16
91,15
92,16
93,15
94,17
95,15
96,16
97,16
98,15
99,16
100,15
101,15
102,17
103,16
104,16
105,15
106,14
107,16
108,15
109,15
110,15
111,16
112,16
113,15
114,15
115,17
116,15
117,16
118,16
119,16
120,15
121,15
122,16
123,15
124,16
125,16
126,17
127,13
128,15
129,16
130,16
131,15
132,16
133,15
134,16
135,15
136,15
137,16
138,15
139,15
140,16
141,15
142,15
143,15
144,16
145,15
146,16
147,15
148,16
149,15
150,16
151,15
152,16
153,16
154,15
155,15
156,16
157,16
158,15
159,16
160,15
161,16
162,16
163,15
164,16
165,15
166,14
167,16
168,15
169,17
170,15
171,15
172,15
173,15
174,16
175,15
176,16
177,15
178,16
179,15
180,16
181,16
182,15
183,15
184,15
185,16
186,15
187,17
188,15
189,16
190,16
191,15
192,16
193,16
194,14
195,16
196,16
197,15
198,15
199,16
200,16
average,15
