run,duration_ms
1,16
2,7
3,17
4,14
5,16
6,14
7,16
8,15
9,16
10,15
11,15
12,16
13,14
14,17
15,15
16,16
17,16
18,16
19,15
20,15
21,16
22,16
23,15
24,16
25,14
26,16
27,15
28,16
29,15
30,16
31,17
32,14
33,17
34,15
35,15
36,16
37,16
38,16
39,16
40,14
41,16
42,17
43,14
44,15
45,16
46,15
47,16
48,15
49,16
50,16
51,15
52,15
53,15
54,17
55,15
56,15
57,16
58,15
59,16
60,16
61,18
62,12
63,16
64,15
65,15
66,16
67,16
68,15
69,16
70,15
71,15
72,15
73,14
74,15
75,16
76,16
77,14
78,16
79,16
80,15
81,15
82,15
83,15
84,14
85,16
86,16
87,16
88,26
89,4
90,16
91,16
92,15
93,16
94,15
95,15
96,16
97,15
98,16
99,16
100,15
101,16
102,16
103,17
104,14
105,16
106,15
107,16
108,16
109,17
110,14
111,16
112,16
113,15
114,15
115,16
116,16
117,15
118,17
119,15
120,15
121,15
122,18
123,15
124,15
125,15
126,15
127,15
128,16
129,14
130,15
131,15
132,15
133,15
134,15
135,16
136,15
137,15
138,15
139,15
140,16
141,14
142,15
143,15
144,15
145,16
146,15
147,16
148,15
149,15
150,16
151,15
152,17
153,14
154,15
155,15
156,15
157,16
158,15
159,15
160,16
161,15
162,15
163,16
164,15
165,16
166,15
167,15
168,16
169,15
170,16
171,15
172,17
173,16
174,15
175,15
176,15
177,15
178,15
179,15
180,16
181,15
182,16
183,16
184,15
185,15
186,16
187,16
188,15
189,16
190,16
191,15
192,15
193,16
194,15
195,17
196,16
197,15
198,15
199,15
200,16
average,15
